"","stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"1190","Application Risk Profile","Do you use centralized and quantified application risk profiles to evaluate business risk?","No",0,0.125,NA,1.375,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1191","Application Risk Profile","Do you regularly review and update the risk profiles for your applications?","Yes, at least annually",1,0.625,NA,1.375,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1192","Threat Modeling","Do you identify and manage architectural design flaws with threat modeling?","Yes, some of them",0.25,NA,NA,1.375,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1193","Threat Modeling","Do you use a standard methodology, aligned on your application risk levels?","Yes, for some applications",0.25,NA,NA,1.375,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1194","Threat Modeling","Do you regularly review and update the threat modeling methodology for your applications?","Yes, but review is ad-hoc",0.25,NA,NA,1.375,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1195","Software Requirements","Do project teams specify security requirements during development?","Yes, for most or all of the applications",1,0.75,NA,1.5,"difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1196","Software Requirements","Do you define, structure, and include prioritization in the artifacts of the security requirements gathering process?","No",0,0.5,NA,1.5,"difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1197","Software Requirements","Do you use a standard requirements framework to streamline the elicitation of security requirements?","No",0,0.25,NA,1.5,"difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1198","Supplier Security","Do stakeholders review vendor collaborations for security requirements and methodology?","Yes, at least half of the time",0.5,NA,NA,1.5,"difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1199","Supplier Security","Do vendors meet the security responsibilities and quality measures of service level agreements defined by the organization?","Yes, most or all of the time",1,NA,NA,1.5,"difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1200","Supplier Security","Are vendors aligned with standard security controls and software development tools and processes that the organization utilizes?","Yes, at least half of the time",0.5,NA,NA,1.5,"difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1201","Architecture Design","Do teams use security principles during design?","Yes, for most or all of the applications",1,1,NA,3,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1202","Architecture Design","Do you use shared security services during design?","Yes, for most or all of the applications",1,1,NA,3,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1203","Architecture Design","Do you base your design on available reference architectures?","Yes, for most or all of the applications",1,1,NA,3,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1204","Technology Management","Do you evaluate the security quality of important technologies used for development?","Yes, for most or all of the applications",1,NA,NA,3,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1205","Technology Management","Do you have a list of recommended technologies for the organization?","Yes, for most or all of the technology domains",1,NA,NA,3,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1206","Technology Management","Do you enforce the use of recommended technologies within the organization?","Yes, for most or all of the applications",1,NA,NA,3,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1207","Build Process","Is your full build process formally described?","Yes, for most or all of the applications",1,1,NA,2,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1208","Build Process","Is the build process fully automated?","Yes, for at least half of the applications",0.5,0.75,"Around half-way, full automation is under development",2,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1209","Build Process","Do you enforce automated security checks in your build processes?","Yes, for some applications",0.25,0.25,"Some security scans are still manually triggered",2,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1210","Software Dependencies","Do you have solid knowledge about dependencies you're relying on?","Yes, for most or all of the applications",1,NA,NA,2,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1211","Software Dependencies","Do you handle 3rd party dependency risk by a formal process?","Yes, for most or all of the applications",1,NA,NA,2,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1212","Software Dependencies","Do you prevent build of software if it's affected by vulnerabilities in dependencies?","Yes, for some applications",0.25,NA,"Not fully automated yet, expected to be end year/beginning of next",2,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1213","Deployment Process","Do you use repeatable deployment processes?","Yes, for most or all of the applications",1,1,NA,2.25,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1214","Deployment Process","Are deployment processes automated and employing security checks?","No",0,0.5,NA,2.25,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1215","Deployment Process","Do you consistently validate the integrity of deployed artifacts?","Yes, for most or all of the applications",1,0.75,NA,2.25,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1216","Secret Management","Do you limit access to application secrets according to the least privilege principle?","Yes, for most or all of the applications",1,NA,NA,2.25,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1217","Secret Management","Do you inject production secrets into configuration files during deployment?","Yes, for most or all of the applications",1,NA,NA,2.25,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1218","Secret Management","Do you practice proper lifecycle management for application secrets?","Yes, for at least half of the applications",0.5,NA,NA,2.25,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1219","Defect Tracking","Do you track all known security defects in accessible locations?","Yes, for most or all of the applications",1,0.5,"mhweb/Jira",2,"very easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1220","Defect Tracking","Do you keep an overview of the state of security defects across the organization?","Yes, for most or all of the applications",1,0.75,NA,2,"very easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1221","Defect Tracking","Do you enforce SLAs for fixing security defects?","Yes, for most or all of the applications",1,0.75,NA,2,"very easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1222","Metrics and Feedback","Do you use basic metrics about recorded security defects to carry out quick win improvement activities?","No",0,NA,NA,2,"difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1223","Metrics and Feedback","Do you improve your security assurance program upon standardized metrics?","Yes, for at least half of the applications",0.5,NA,NA,2,"difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1224","Metrics and Feedback","Do you regularly evaluate the effectiveness of your security metrics so that its input helps drive your security strategy?","Yes, for at least half of the applications",0.5,NA,NA,2,"difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1225","Architecture Validation","Do you review the application architecture for key security objectives on an ad-hoc basis?","Yes, for most or all of the applications",1,1,"For each new feature (“initiative”)",2.25,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1226","Architecture Validation","Do you regularly review the security mechanisms of your architecture?","Yes, for most or all of the applications",1,1,NA,2.25,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1227","Architecture Validation","Do you regularly review the effectiveness of the security controls?","Yes, for at least half of the applications",0.5,0.25,NA,2.25,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1228","Architecture Mitigation","Do you review the application architecture for mitigations of typical threats on an ad-hoc basis?","Yes, for most or all of the applications",1,NA,NA,2.25,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1229","Architecture Mitigation","Do you regularly evaluate the threats to your architecture?","Yes, for most or all of the applications",1,NA,NA,2.25,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1230","Architecture Mitigation","Do you regularly update your reference architectures based on architecture assessment findings?","No",0,NA,"I don’t really consider we have a reference architecture atm",2.25,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1231","Control Verification","Do you test applications for the correct functioning of standard security controls?","Yes, some of them",0.25,0.25,NA,0.75,"difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1232","Control Verification","Do you consistently write and execute test scripts to verify the functionality of security requirements?","Yes, some of them",0.25,0.25,NA,0.75,"difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1233","Control Verification","Do you automatically test applications for security regressions?","Yes, for some applications",0.25,0.25,NA,0.75,"difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1234","Misuse/Abuse Testing","Do you test applications using randomization or fuzzing techniques?","Yes, for some applications",0.25,NA,"Defensics fuzz tester for some rekeases",0.75,"difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1235","Misuse/Abuse Testing","Do you create abuse cases from functional requirements and use them to drive security tests?","Yes, some of the time",0.25,NA,NA,0.75,"difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1236","Misuse/Abuse Testing","Do you perform denial of service and security stress testing?","Yes, some of the time",0.25,NA,NA,0.75,"difficult","unconfident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1237","Scalable Baseline","Do you scan applications with automated security testing tools?","Yes, most or all of them",1,1,NA,2.375,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1238","Scalable Baseline","Do you customize the automated security tools to your applications and technology stacks?","Yes, most or all of them",1,0.75,NA,2.375,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1239","Scalable Baseline","Do you integrate automated security testing into the build and deploy process?","Yes, most or all of it",1,0.625,"Implementation ongoing to automate all tool set",2.375,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1240","Deep Understanding","Do you manually review the security quality of selected high-risk components?","Yes, for most or all of the components",1,NA,NA,2.375,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1241","Deep Understanding","Do you perform penetration testing for your applications at regular intervals?","Yes, for at least half of the applications",0.5,NA,"Not sure if all components are considered or only external APIs (attack surfaces)",2.375,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1242","Deep Understanding","Do you use the results of security testing to improve the development lifecycle?","Yes, but we improve it ad-hoc",0.25,NA,NA,2.375,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1243","Incident Detection","Do you analyze log data for security incidents periodically?","Yes, for most or all of the applications",1,1,"This is in most cases the responsibility of our customers (telco operators). Answers are based on that they follow this process",3,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1244","Incident Detection","Do you follow a documented process for incident detection?","Yes, for most or all of the applications",1,1,NA,3,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1245","Incident Detection","Do you review and update the incident detection process regularly?","Yes, for most or all of the applications",1,1,NA,3,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1246","Incident Response","Do you respond to detected incidents?","Yes, for most or all of the incidents",1,NA,NA,3,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1247","Incident Response","Do you use a repeatable process for incident handling?","Yes, for most or all of the incident types",1,NA,NA,3,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1248","Incident Response","Do you have a dedicated incident response team available?","Yes, most or all of the time",1,NA,"COMPANY Security Team for our organization. Assumed that customer/cust unit has one also",3,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1249","Configuration Hardening","Do you harden configurations for key components of your technology stacks?","Yes, for most or all of the components",1,1,NA,2.5,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1250","Configuration Hardening","Do you have hardening baselines for your components?","Yes, for most or all of the components",1,0.75,NA,2.5,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1251","Configuration Hardening","Do you monitor and enforce conformity with hardening baselines?","Yes, for most or all of the components",1,0.75,NA,2.5,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1252","Patching and Updating","Do you identify and patch vulnerable components?","Yes, for most or all of the components",1,NA,NA,2.5,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1253","Patching and Updating","Do you follow an established process for updating components of your technology stacks?","Yes, for at least half of the components",0.5,NA,"Not always for “smaller” 3PPs",2.5,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1254","Patching and Updating","Do you regularly evaluate components and review patch level status?","Yes, for at least half of the components",0.5,NA,"See comment above",2.5,"very easy","very confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1255","Data Protection","Do you protect and handle information according to protection requirements for data stored and processed on each application?","Yes, for most or all of the applications",1,0.625,"This is normally on column level (db column is classified)",2.25,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1256","Data Protection","Do you maintain a data catalog, including types, sensitivity levels, and processing and storage locations?","Yes, for most or all of our data",1,1,"Answer based on that it is the data model of the applications that you refer to here",2.25,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1257","Data Protection","Do you regularly review and update the data catalog and your data protection policies and procedures?","Yes, we do it at least annually",1,0.625,NA,2.25,"easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1258","System Decomissioning / Legacy Management","Do you identify and remove systems, applications, application dependencies, or services that are no longer used, have reached end of life, or are no longer actively developed or supported?","Yes, for some applications",0.25,NA,"This is NOT fully done for all 3PPs which are no longer actively developed.",2.25,"very easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1259","System Decomissioning / Legacy Management","Do you follow an established process for removing all associated resources, as part of decommissioning of unused systems, applications, application dependencies, or services?","Yes, most or all of the time",1,NA,NA,2.25,"very easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1260","System Decomissioning / Legacy Management","Do you regularly evaluate the lifecycle state and support status of every software asset and underlying infrastructure component, and estimate their end of life?","Yes, for some of the assets",0.25,NA,"Yes for where we have commercial license or support agreement. Not done for all 3PPs",2.25,"very easy","confident","d99d341a47420d743cc8046ec1aa9c47","architect",63
"1261","Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","NO ANSWER",0,0,"I am not selecting any answer because I am not in management but As a developer, we analyze technical and business risks for every feature we add in the product. and it documented. I am pretty sure our leadership makes decisions based on that.",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1262","Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","NO ANSWER",0,0,"Not answering this because not my involved in this but we have security team and I know they have plans.",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1263","Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","NO ANSWER",0,0,"probably yes.",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1264","Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","NO ANSWER",0,NA,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1265","Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","NO ANSWER",0,NA,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1266","Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","NO ANSWER",0,NA,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1267","Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","NO ANSWER",0,0,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1268","Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","NO ANSWER",0,0,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1269","Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","NO ANSWER",0,0,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1270","Compliance Management","Do you have a complete picture of your external compliance obligations?","NO ANSWER",0,NA,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1271","Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","NO ANSWER",0,NA,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1272","Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","NO ANSWER",0,NA,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1273","Training and Awareness","Do you require employees involved with application development to take SDLC training?","Yes, most or all of them",1,1,"All developers get the secure coding training. Not sure if it is called SDLC training.",1.625,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1274","Training and Awareness","Is training customized for individual roles such as developers, testers, or security champions?","Yes, for some of the training",0.25,0.125,"I know we developers have trainings and then Security Masters have separate training and boot camps",1.625,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1275","Training and Awareness","Have you implemented a Learning Management System or equivalent to track employee training and certification processes?","Yes, for most or all of the training",1,0.5,NA,1.625,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1276","Organization and Culture","Have you identified a Security Champion for each development team?","Yes, for most or all of the teams",1,NA,NA,1.625,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1277","Organization and Culture","Does the organization have a Secure Software Center of Excellence (SSCE)?","NO ANSWER",0,NA,NA,1.625,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1278","Organization and Culture","Is there a centralized portal where developers and application security professionals from different teams and business units are able to communicate and share information?","NO ANSWER",0,NA,"We use confluence pages where we have developer guides. If you consider it as portal then yes otherwise No.",1.625,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1279","Application Risk Profile","Do you classify applications according to business risk based on a simple and predefined set of questions?","No",0,0,"We don’t have multiple application in COMPANY. We have one application which is classified as financial application",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1280","Application Risk Profile","Do you use centralized and quantified application risk profiles to evaluate business risk?","NO ANSWER",0,0,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1281","Application Risk Profile","Do you regularly review and update the risk profiles for your applications?","NO ANSWER",0,0,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1282","Threat Modeling","Do you identify and manage architectural design flaws with threat modeling?","NO ANSWER",0,NA,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1283","Threat Modeling","Do you use a standard methodology, aligned on your application risk levels?","NO ANSWER",0,NA,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1284","Threat Modeling","Do you regularly review and update the threat modeling methodology for your applications?","NO ANSWER",0,NA,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1285","Software Requirements","Do project teams specify security requirements during development?","Yes, for most or all of the applications",1,0.5,NA,1,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1286","Software Requirements","Do you define, structure, and include prioritization in the artifacts of the security requirements gathering process?","Yes, most or all of the time",1,0.5,NA,1,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1287","Software Requirements","Do you use a standard requirements framework to streamline the elicitation of security requirements?","NO ANSWER",0,0,"It is done by our SWT team. Not sure if they use any framework",1,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1288","Supplier Security","Do stakeholders review vendor collaborations for security requirements and methodology?","NO ANSWER",0,NA,"I am not involved in this process but I am certain that we do.",1,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1289","Supplier Security","Do vendors meet the security responsibilities and quality measures of service level agreements defined by the organization?","NO ANSWER",0,NA,NA,1,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1290","Supplier Security","Are vendors aligned with standard security controls and software development tools and processes that the organization utilizes?","NO ANSWER",0,NA,NA,1,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1291","Architecture Design","Do teams use security principles during design?","Yes, for most or all of the applications",1,1,NA,1,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1292","Architecture Design","Do you use shared security services during design?","No",0,0,NA,1,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1293","Architecture Design","Do you base your design on available reference architectures?","No",0,0,NA,1,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1294","Technology Management","Do you evaluate the security quality of important technologies used for development?","Yes, for most or all of the applications",1,NA,NA,1,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1295","Technology Management","Do you have a list of recommended technologies for the organization?","No",0,NA,NA,1,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1296","Technology Management","Do you enforce the use of recommended technologies within the organization?","NO ANSWER",0,NA,NA,1,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1297","Build Process","Is your full build process formally described?","Yes, for most or all of the applications",1,0.5,NA,0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1298","Build Process","Is the build process fully automated?","No",0,0,NA,0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1299","Build Process","Do you enforce automated security checks in your build processes?","NO ANSWER",0,0,"We are working on automating the build process and enforced automated security checks. But we are not fully there yet",0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1300","Software Dependencies","Do you have solid knowledge about dependencies you're relying on?","NO ANSWER",0,NA,"As a developer, I don’t have solid knowledge that with what CVE we are impacted but I know our security team runs the scans and they have control on it",0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1301","Software Dependencies","Do you handle 3rd party dependency risk by a formal process?","NO ANSWER",0,NA,"I think yes, but again it is done by security team",0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1302","Software Dependencies","Do you prevent build of software if it's affected by vulnerabilities in dependencies?","NO ANSWER",0,NA,"I think yes",0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1303","Deployment Process","Do you use repeatable deployment processes?","Yes, for most or all of the applications",1,0.5,NA,0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1304","Deployment Process","Are deployment processes automated and employing security checks?","NO ANSWER",0,0,"Don’t know",0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1305","Deployment Process","Do you consistently validate the integrity of deployed artifacts?","NO ANSWER",0,0,"Don’t know",0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1306","Secret Management","Do you limit access to application secrets according to the least privilege principle?","NO ANSWER",0,NA,NA,0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1307","Secret Management","Do you inject production secrets into configuration files during deployment?","NO ANSWER",0,NA,NA,0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1308","Secret Management","Do you practice proper lifecycle management for application secrets?","NO ANSWER",0,NA,NA,0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1309","Defect Tracking","Do you track all known security defects in accessible locations?","NO ANSWER",0,0,"We use one tracker for all type of defects. I don’t know if there is separate tracker for security defects",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1310","Defect Tracking","Do you keep an overview of the state of security defects across the organization?","NO ANSWER",0,0,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1311","Defect Tracking","Do you enforce SLAs for fixing security defects?","NO ANSWER",0,0,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1312","Metrics and Feedback","Do you use basic metrics about recorded security defects to carry out quick win improvement activities?","NO ANSWER",0,NA,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1313","Metrics and Feedback","Do you improve your security assurance program upon standardized metrics?","NO ANSWER",0,NA,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1314","Metrics and Feedback","Do you regularly evaluate the effectiveness of your security metrics so that its input helps drive your security strategy?","NO ANSWER",0,NA,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1315","Architecture Validation","Do you review the application architecture for key security objectives on an ad-hoc basis?","NO ANSWER",0,0,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1316","Architecture Validation","Do you regularly review the security mechanisms of your architecture?","NO ANSWER",0,0,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1317","Architecture Validation","Do you regularly review the effectiveness of the security controls?","NO ANSWER",0,0,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1318","Architecture Mitigation","Do you review the application architecture for mitigations of typical threats on an ad-hoc basis?","NO ANSWER",0,NA,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1319","Architecture Mitigation","Do you regularly evaluate the threats to your architecture?","NO ANSWER",0,NA,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1320","Architecture Mitigation","Do you regularly update your reference architectures based on architecture assessment findings?","NO ANSWER",0,NA,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1321","Control Verification","Do you test applications for the correct functioning of standard security controls?","Yes, most or all of them",1,0.5,NA,0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1322","Control Verification","Do you consistently write and execute test scripts to verify the functionality of security requirements?","NO ANSWER",0,0,"Don’t know",0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1323","Control Verification","Do you automatically test applications for security regressions?","NO ANSWER",0,0,"Don’t know",0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1324","Misuse/Abuse Testing","Do you test applications using randomization or fuzzing techniques?","NO ANSWER",0,NA,"Don’t know",0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1325","Misuse/Abuse Testing","Do you create abuse cases from functional requirements and use them to drive security tests?","NO ANSWER",0,NA,"Don’t know",0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1326","Misuse/Abuse Testing","Do you perform denial of service and security stress testing?","NO ANSWER",0,NA,"Don’t know",0.5,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1327","Scalable Baseline","Do you scan applications with automated security testing tools?","NO ANSWER",0,0,"Don’t know",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1328","Scalable Baseline","Do you customize the automated security tools to your applications and technology stacks?","NO ANSWER",0,0,"Don’t know",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1329","Scalable Baseline","Do you integrate automated security testing into the build and deploy process?","NO ANSWER",0,0,NA,0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1330","Deep Understanding","Do you manually review the security quality of selected high-risk components?","NO ANSWER",0,NA,"Don’t know",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1331","Deep Understanding","Do you perform penetration testing for your applications at regular intervals?","NO ANSWER",0,NA,"Don’t know",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1332","Deep Understanding","Do you use the results of security testing to improve the development lifecycle?","NO ANSWER",0,NA,"Don’t know",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1333","Incident Detection","Do you analyze log data for security incidents periodically?","NO ANSWER",0,0,"Don’t know",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1334","Incident Detection","Do you follow a documented process for incident detection?","NO ANSWER",0,0,"Don’t know",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1335","Incident Detection","Do you review and update the incident detection process regularly?","NO ANSWER",0,0,"Don’t know",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1336","Incident Response","Do you respond to detected incidents?","NO ANSWER",0,NA,"Don’t know",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1337","Incident Response","Do you use a repeatable process for incident handling?","NO ANSWER",0,NA,"Don’t know",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
"1338","Incident Response","Do you have a dedicated incident response team available?","NO ANSWER",0,NA,"Don’t know",0,NA,NA,"e9b6798adb63d665b42e0d736b17a898","development",0
